location,latitude,longitude
AIIMS,28.5668602,77.2078058
Adarsh Nagar,28.7165805,77.1704223
Akshardham,28.6125167,77.2773184
Ambience Mall,28.5412453,77.1551082
Anand Vihar,28.6468336,77.3158749
Anand Vihar ISBT,28.6490523,77.3182836
Ardee City,28.4410412,77.0792079
Arjangarh,28.4787294,77.1209508
Ashok Park Main,28.6716045,77.155291
Ashok Vihar,19.116503,72.886755
Ashram,28.5724231,77.2585979
Aya Nagar,28.476491,77.1329132
Azadpur,28.7070448,77.1803722
Badarpur,28.4932633,77.3030303
Badshahpur,28.3932757,77.0484201
Bahadurgarh,28.6609648,76.8346765
Barakhamba Road,28.6301074,77.2244394
Basai Dhankot,28.4645841,76.9828171
Bhikaji Cama Place,28.5702618,77.1878709
Bhiwadi,28.2039413,76.837441
Botanical Garden,55.8448473,37.6382437
Central Secretariat,28.6158794,77.2122822
Chanakyapuri,28.5946775,77.1885212
Chandni Chowk,28.6559834,77.2321937
Chhatarpur,24.7606089,79.6781776
Chirag Delhi,28.5381411,77.2280694
Civil Lines Gurgaon,28.461685,77.0339023
Connaught Place,28.6314022,77.2193791
Cyber Hub,51.905975,-2.1147883
DLF City Court,10.0176879,76.3513032
DLF Phase 3,28.491359,77.094639
Delhi Gate,28.6392084,77.2407549
Dilshad Garden,28.6758864,77.321446
Dwarka Mor,28.61931,77.0332792
Dwarka Sector 21,28.5519218,77.0585605
Faridabad Sector 15,28.3983558,77.3231003
GTB Nagar,28.6981333,77.2063998
Ghaziabad,28.7749966,77.4586967
Ghitorni,28.4931214,77.1424868
Ghitorni Village,28.4931214,77.1424868
Golf Course Road,39.4450672,-77.927756
Govindpuri,26.4536771,80.312879
Greater Kailash,28.5419077,77.2384925
Greater Noida,28.4670734,77.5137649
Green Park,51.5066192,-0.1429113
Gurgaon Railway Station,28.4891009,77.0111934
Gurgaon Sector 29,28.4669197,77.0671306
Gurgaon Sector 56,28.4253232,77.0985157
Gwal Pahari,28.4326344,77.1480585
Hauz Khas,28.5498087,77.2077638
Hauz Rani,28.5291809,77.2117586
Hero Honda Chowk,28.7404709,77.1658628
Huda City Centre,28.4593429,77.0726571
IFFCO Chowk,28.4723277,77.0724222
IGI Airport,28.5564626,77.0866995
IGNOU Road,28.5159032,77.2056737
IIT Delhi,28.5449971,77.1891506
IMT Manesar,28.3671851,76.920669
INA Market,28.5744076,77.2102415
ITO,34.9656621,139.101729
Inderlok,28.6735891,77.1703467
India Gate,28.6129332,77.2294928
Indirapuram,28.6423908,77.3684892
Indraprastha,28.6206019,77.249551
Jahangirpuri,28.7259717,77.162658
Jama Masjid,28.6506822,77.232961
Janakpuri,28.6219272,77.0874757
Jasola,28.5427353,77.2913342
Jhilmil,28.6757197,77.3123949
Jor Bagh,28.5865094,77.2125273
Kadarpur,24.2015553,77.7437817
Kalkaji,28.5469476,77.258801
Kanhaiya Nagar,28.6824082,77.1647754
Karkarduma,28.6493434,77.3060686
Karol Bagh,28.6529982,77.1890227
Kashmere Gate,28.6668141,77.2290549
Kashmere Gate ISBT,28.6686963,77.2304228
Kaushambi,25.5342456,81.4493567
Keshav Puram,28.6889264,77.1616833
Khan Market,28.5995141,77.2259785
Khandsa,28.4533282,77.0195396
Kherki Daula Toll,,
Kirti Nagar,28.655746,77.1506635
Lajpat Nagar,28.5660924,77.2432851
Lal Quila,28.657483,77.2366607
Laxmi Nagar,6.8952194,93.8898315
Lok Kalyan Marg,28.5973513,77.2110967
MG Road,12.9755264,77.6067902
Madipur,28.6764752,77.1193599
Maidan Garhi,28.4987734,77.1944475
Malviya Nagar,28.5339201,77.2124474
Mandi House,28.6255149,77.2341926
Manesar,28.3247096,76.9263787
Mansarovar Park,28.675385,77.3008678
Mayur Vihar,28.6098555,77.2926318
Meerut,29.0018557,77.7679671
Mehrauli,28.5218262,77.1783232
Model Town,28.707334,77.1885231
Moolchand,30.3184099,78.0689451
Moti Nagar,28.657859,77.1424288
Mundka,28.6819261,77.0308105
Munirka,28.554886,77.1710841
Narsinghpur,22.934556,79.0867849
Nawada,24.8173249,85.5179085
Nehru Place,28.5492574,77.2529526
Netaji Subhash Place,28.6960518,77.1526404
New Colony,26.7944934,82.204727
New Delhi Railway Station,28.6402816,77.2204103
Nirman Vihar,28.6364592,77.2868145
Noida Extension,,
Noida Film City,28.57407,77.3139374
Noida Sector 18,28.5707583,77.3260756
Noida Sector 62,28.6169861,77.3735885
Okhla,28.5636616,77.2890546
Old Gurgaon,28.4701448,77.0441185
Paharganj,28.6414989,77.2140607
Palam Vihar,28.5054709,77.0381625
Panchsheel Park,28.5423747,77.2210916
Panipat,29.3912753,76.9771675
Paschim Vihar,28.6695782,77.095956
Pataudi Chowk,28.6481428,77.2379943
Patel Chowk,28.6229664,77.214031
Peeragarhi,28.6773142,77.0931024
Pitampura,28.6995123,77.1301047
Pragati Maidan,28.6172378,77.2434616
Preet Vihar,28.6414409,77.2952594
Pulbangash,28.664396,77.212246
Punjabi Bagh,28.672995,77.1461239
Qutub Minar,28.524413,77.1854501
RK Puram,17.3679481,78.5487763
Raj Nagar Extension,28.685628,77.400277
Rajiv Chowk,28.6314022,77.2193791
Rajiv Nagar,20.2507628,85.7826009
Rajouri Garden,28.6490563,77.1227198
Ramesh Nagar,28.6527444,77.1316496
Rithala,28.7208064,77.1071813
Rohini,27.5008961,83.5494732
Rohini East,28.7075774,77.1259971
Rohini West,28.7149569,77.115385
Sadar Bazar Gurgaon,28.4608629,77.0292838
Saidulajab,28.5204237,77.2022859
Saket,28.521168,77.2022237
Saket A Block,28.528163,77.2048771
Samaypur Badli,28.7446411,77.1382701
Sarai Kale Khan,28.5866263,77.2562282
Sarojini Nagar,28.575817,77.1980786
Satguru Ram Singh Marg,28.6188228,77.1131431
Seelampur,28.6698165,77.2668137
Shahdara,28.6758661,77.2985078
Shastri Nagar,28.6700885,77.1818589
Shastri Park,28.6684339,77.2505301
Shivaji Park,19.0272788,72.8383977
Sikanderpur,28.4812716,77.0930017
Sohna Road,28.3911015,77.0490033
Sonipat,28.9953758,77.0233627
South Extension,28.5685664,77.2205677
Subhash Chowk,23.0524038,72.5336995
Subhash Nagar,28.6404593,77.1051815
Sultanpur,26.2604732,82.2380532
Sushant Lok,28.4706634,77.0798127
Tagore Garden,28.6437288,77.1128703
Tilak Nagar,28.6365265,77.096482
Tis Hazari,28.6671626,77.2166306
Tughlakabad,28.5034421,77.2970508
Udyog Bhawan,28.6105302,77.2131076
Udyog Vihar,28.6822073,77.0884362
Udyog Vihar Phase 4,28.4971745,77.0813511
Uttam Nagar,28.6215226,77.0611064
Vaishali,25.7491702,85.3972164
Vasant Kunj,28.5292495,77.1541335
Vatika Chowk,26.8718646,80.9125355
Vidhan Sabha,26.843382,80.9440184
Vinobapuri,28.565871,77.2492973
Vishwavidyalaya,26.4964612,80.2674068
Welcome,35.9091368,-80.2540727
Yamuna Bank,28.6232554,77.2678697
